0.00230,0.35380,0.07300,-0.00000,0.00000,0.00000
0.00260,0.35430,0.07210,-0.00131,0.00083,0.00497
0.00280,0.35460,0.07130,-0.00262,0.00166,0.00994
0.00310,0.35520,0.07040,-0.00394,0.00249,0.01492
0.00340,0.35560,0.06950,-0.00527,0.00330,0.01990
0.00360,0.35600,0.06860,-0.00659,0.00412,0.02488
0.00380,0.35650,0.06790,-0.00793,0.00492,0.02987
0.00410,0.35700,0.06690,-0.00926,0.00571,0.03485
0.00430,0.35750,0.06610,-0.01061,0.00650,0.03984
0.00450,0.35790,0.06520,-0.01195,0.00729,0.04483
0.00480,0.35840,0.06430,-0.01330,0.00807,0.04982
0.00490,0.35890,0.06340,-0.01465,0.00884,0.05481
0.00510,0.35950,0.06250,-0.01600,0.00960,0.05982
0.00550,0.36000,0.06160,-0.01737,0.01037,0.06483
0.00560,0.36060,0.06080,-0.01873,0.01111,0.06982
0.00580,0.36110,0.05990,-0.02011,0.01186,0.07483
0.00590,0.36170,0.05890,-0.02148,0.01260,0.07984
0.00610,0.36230,0.05810,-0.02285,0.01334,0.08485
0.00620,0.36280,0.05710,-0.02424,0.01406,0.08987
0.00650,0.36340,0.05620,-0.02562,0.01477,0.09487
0.00660,0.36410,0.05530,-0.02701,0.01548,0.09989
0.00680,0.36460,0.05440,-0.02841,0.01619,0.10490
0.00680,0.36530,0.05340,-0.02981,0.01688,0.10993
0.00700,0.36590,0.05260,-0.03121,0.01758,0.11496
0.00720,0.36640,0.05160,-0.03261,0.01827,0.11998
0.00730,0.36710,0.05060,-0.03403,0.01894,0.12500
0.00740,0.36780,0.04980,-0.03543,0.01961,0.13004
0.00750,0.36840,0.04880,-0.03685,0.02028,0.13507
0.00760,0.36910,0.04780,-0.03827,0.02094,0.14011
0.00760,0.36970,0.04690,-0.03969,0.02157,0.14513
0.00780,0.37040,0.04600,-0.04111,0.02223,0.15016
0.00790,0.37110,0.04500,-0.04255,0.02286,0.15521
0.00780,0.37190,0.04410,-0.04398,0.02349,0.16025
0.00790,0.37250,0.04310,-0.04542,0.02410,0.16528
0.00800,0.37320,0.04220,-0.04687,0.02472,0.17033
0.00810,0.37400,0.04120,-0.04830,0.02533,0.17537
0.00810,0.37470,0.04020,-0.04975,0.02591,0.18042
0.00810,0.37540,0.03920,-0.05120,0.02652,0.18547
0.00820,0.37610,0.03840,-0.05265,0.02710,0.19051
0.00820,0.37700,0.03730,-0.05410,0.02767,0.19557
0.00820,0.37760,0.03630,-0.05557,0.02825,0.20061
0.00810,0.37850,0.03540,-0.05703,0.02881,0.20567
0.00810,0.37920,0.03440,-0.05850,0.02936,0.21072
0.00800,0.38000,0.03330,-0.05996,0.02991,0.21576
0.00800,0.38080,0.03240,-0.06143,0.03045,0.22083
0.00800,0.38160,0.03140,-0.06290,0.03098,0.22589
0.00800,0.38240,0.03030,-0.06438,0.03150,0.23094
0.00790,0.38310,0.02930,-0.06585,0.03203,0.23600
0.00780,0.38390,0.02830,-0.06735,0.03253,0.24106
0.00770,0.38470,0.02730,-0.06883,0.03304,0.24612
0.00760,0.38560,0.02640,-0.07031,0.03354,0.25118
0.00750,0.38650,0.02520,-0.07181,0.03403,0.25625
0.00750,0.38720,0.02420,-0.07330,0.03451,0.26130
0.00740,0.38810,0.02320,-0.07479,0.03498,0.26637
0.00720,0.38900,0.02220,-0.07628,0.03545,0.27144
0.00710,0.38980,0.02120,-0.07778,0.03590,0.27650
0.00690,0.39070,0.02010,-0.07928,0.03635,0.28157
0.00690,0.39160,0.01900,-0.08078,0.03680,0.28664
0.00660,0.39240,0.01800,-0.08229,0.03723,0.29170
0.00650,0.39330,0.01700,-0.08381,0.03766,0.29677
0.00620,0.39430,0.01590,-0.08531,0.03807,0.30184
0.00610,0.39510,0.01480,-0.08682,0.03848,0.30691
0.00580,0.39600,0.01380,-0.08834,0.03889,0.31197
0.00570,0.39700,0.01270,-0.08984,0.03928,0.31704
0.00540,0.39790,0.01170,-0.09136,0.03968,0.32211
0.00520,0.39880,0.01060,-0.09289,0.04006,0.32718
0.00510,0.39920,0.00930,-0.09442,0.04055,0.33203
0.00530,0.39950,0.00800,-0.09595,0.04103,0.33687
0.00520,0.40000,0.00660,-0.09749,0.04151,0.34171
0.00510,0.40040,0.00540,-0.09905,0.04199,0.34654
0.00510,0.40110,0.00410,-0.10060,0.04243,0.35145
0.00490,0.40170,0.00280,-0.10218,0.04287,0.35636
0.00540,0.40170,0.00250,-0.10340,0.04302,0.36067
0.00580,0.40170,0.00230,-0.10461,0.04316,0.36497
0.00590,0.40200,0.00160,-0.10593,0.04335,0.36968
0.00610,0.40220,0.00090,-0.10724,0.04351,0.37439
0.00620,0.40240,0.00020,-0.10856,0.04362,0.37912
0.00640,0.40260,-0.00050,-0.10988,0.04372,0.38384
0.00640,0.40310,-0.00190,-0.11147,0.04419,0.38857
0.00650,0.40350,-0.00320,-0.11307,0.04465,0.39331
0.00630,0.40410,-0.00470,-0.11469,0.04509,0.39811
0.00630,0.40460,-0.00610,-0.11630,0.04553,0.40291
0.00620,0.40520,-0.00760,-0.11793,0.04595,0.40771
0.00610,0.40570,-0.00900,-0.11954,0.04637,0.41252
0.00600,0.40630,-0.01040,-0.12116,0.04679,0.41731
0.00590,0.40700,-0.01190,-0.12277,0.04720,0.42212
0.00580,0.40740,-0.01330,-0.12439,0.04761,0.42685
0.00580,0.40790,-0.01470,-0.12598,0.04800,0.43160
0.00570,0.40850,-0.01620,-0.12761,0.04839,0.43637
