-0.00230,-0.35380,-0.07300,0.00000,-0.00000,-0.00000
-0.00430,-0.35420,-0.07260,0.00131,-0.00084,-0.00497
-0.00620,-0.35440,-0.07220,0.00260,-0.00169,-0.00994
-0.00820,-0.35480,-0.07180,0.00390,-0.00255,-0.01491
-0.01020,-0.35510,-0.07140,0.00520,-0.00340,-0.01988
-0.01210,-0.35530,-0.07100,0.00649,-0.00428,-0.02485
-0.01410,-0.35570,-0.07070,0.00778,-0.00515,-0.02983
-0.01610,-0.35600,-0.07020,0.00906,-0.00603,-0.03480
-0.01810,-0.35630,-0.06990,0.01034,-0.00692,-0.03977
-0.02000,-0.35660,-0.06950,0.01161,-0.00782,-0.04474
-0.02200,-0.35690,-0.06910,0.01288,-0.00872,-0.04971
-0.02390,-0.35720,-0.06870,0.01414,-0.00963,-0.05468
-0.02590,-0.35750,-0.06830,0.01540,-0.01054,-0.05966
-0.02800,-0.35780,-0.06790,0.01666,-0.01147,-0.06464
-0.02990,-0.35820,-0.06760,0.01791,-0.01239,-0.06960
-0.03190,-0.35840,-0.06720,0.01917,-0.01333,-0.07458
-0.03380,-0.35880,-0.06670,0.02041,-0.01427,-0.07956
-0.03580,-0.35910,-0.06640,0.02164,-0.01522,-0.08453
-0.03770,-0.35940,-0.06600,0.02288,-0.01617,-0.08951
-0.03980,-0.35970,-0.06560,0.02411,-0.01713,-0.09447
-0.04170,-0.36010,-0.06520,0.02534,-0.01809,-0.09945
-0.04370,-0.36030,-0.06480,0.02656,-0.01907,-0.10442
-0.04560,-0.36070,-0.06440,0.02778,-0.02004,-0.10940
-0.04760,-0.36100,-0.06410,0.02899,-0.02104,-0.11438
-0.04960,-0.36120,-0.06360,0.03020,-0.02203,-0.11935
-0.05160,-0.36160,-0.06320,0.03141,-0.02302,-0.12432
-0.05350,-0.36190,-0.06290,0.03260,-0.02403,-0.12930
-0.05550,-0.36220,-0.06250,0.03379,-0.02504,-0.13427
-0.05750,-0.36250,-0.06200,0.03498,-0.02606,-0.13925
-0.05940,-0.36280,-0.06170,0.03617,-0.02707,-0.14421
-0.06140,-0.36310,-0.06130,0.03734,-0.02811,-0.14918
-0.06340,-0.36340,-0.06090,0.03852,-0.02914,-0.15416
-0.06530,-0.36380,-0.06060,0.03969,-0.03018,-0.15913
-0.06730,-0.36400,-0.06010,0.04086,-0.03122,-0.16409
-0.06930,-0.36430,-0.05980,0.04202,-0.03228,-0.16907
-0.07130,-0.36470,-0.05940,0.04316,-0.03334,-0.17404
-0.07330,-0.36500,-0.05900,0.04432,-0.03439,-0.17901
-0.07520,-0.36530,-0.05860,0.04546,-0.03547,-0.18398
-0.07720,-0.36560,-0.05830,0.04660,-0.03654,-0.18894
-0.07920,-0.36600,-0.05780,0.04773,-0.03762,-0.19392
-0.08120,-0.36620,-0.05740,0.04886,-0.03871,-0.19888
-0.08310,-0.36660,-0.05710,0.04999,-0.03980,-0.20385
-0.08510,-0.36690,-0.05670,0.05111,-0.04090,-0.20882
-0.08700,-0.36720,-0.05620,0.05221,-0.04200,-0.21377
-0.08900,-0.36750,-0.05590,0.05332,-0.04311,-0.21874
-0.09100,-0.36780,-0.05550,0.05442,-0.04422,-0.22371
-0.09300,-0.36810,-0.05510,0.05552,-0.04534,-0.22867
-0.09490,-0.36840,-0.05470,0.05660,-0.04647,-0.23363
-0.09690,-0.36870,-0.05430,0.05770,-0.04760,-0.23859
-0.09880,-0.36900,-0.05390,0.05878,-0.04874,-0.24355
-0.10080,-0.36930,-0.05360,0.05984,-0.04988,-0.24851
-0.10280,-0.36970,-0.05310,0.06092,-0.05103,-0.25347
-0.10480,-0.36990,-0.05270,0.06198,-0.05218,-0.25842
-0.10680,-0.37020,-0.05240,0.06304,-0.05334,-0.26338
-0.10870,-0.37060,-0.05200,0.06408,-0.05450,-0.26834
-0.11070,-0.37080,-0.05160,0.06513,-0.05567,-0.27329
-0.11260,-0.37120,-0.05120,0.06617,-0.05684,-0.27825
-0.11470,-0.37150,-0.05080,0.06720,-0.05802,-0.28320
-0.11660,-0.37180,-0.05040,0.06823,-0.05920,-0.28815
-0.11860,-0.37210,-0.05010,0.06926,-0.06039,-0.29310
-0.12050,-0.37250,-0.04960,0.07027,-0.06158,-0.29805
-0.12250,-0.37270,-0.04920,0.07128,-0.06277,-0.30300
-0.12440,-0.37310,-0.04890,0.07229,-0.06398,-0.30794
-0.12650,-0.37340,-0.04850,0.07328,-0.06518,-0.31288
-0.12840,-0.37370,-0.04810,0.07427,-0.06640,-0.31783
-0.13040,-0.37400,-0.04770,0.07526,-0.06762,-0.32277
-0.13230,-0.37380,-0.04710,0.07623,-0.06894,-0.32748
-0.13440,-0.37350,-0.04640,0.07719,-0.07026,-0.33219
-0.13630,-0.37340,-0.04570,0.07815,-0.07159,-0.33688
-0.13820,-0.37320,-0.04510,0.07911,-0.07294,-0.34157
-0.14030,-0.37320,-0.04450,0.08007,-0.07427,-0.34634
-0.14220,-0.37320,-0.04390,0.08104,-0.07561,-0.35110
-0.14420,-0.37240,-0.04410,0.08181,-0.07652,-0.35531
-0.14610,-0.37160,-0.04440,0.08257,-0.07743,-0.35951
-0.14810,-0.37110,-0.04430,0.08337,-0.07846,-0.36411
-0.15010,-0.37060,-0.04420,0.08417,-0.07948,-0.36871
-0.15200,-0.37000,-0.04400,0.08498,-0.08046,-0.37333
-0.15400,-0.36940,-0.04390,0.08580,-0.08144,-0.37794
-0.15600,-0.36920,-0.04320,0.08672,-0.08287,-0.38251
-0.15800,-0.36890,-0.04260,0.08764,-0.08430,-0.38708
-0.15990,-0.36880,-0.04180,0.08857,-0.08575,-0.39172
-0.16190,-0.36860,-0.04110,0.08948,-0.08720,-0.39635
-0.16390,-0.36850,-0.04040,0.09040,-0.08864,-0.40099
-0.16580,-0.36830,-0.03970,0.09130,-0.09010,-0.40563
-0.16780,-0.36820,-0.03900,0.09219,-0.09156,-0.41025
-0.16980,-0.36810,-0.03830,0.09306,-0.09302,-0.41488
-0.17170,-0.36780,-0.03760,0.09394,-0.09449,-0.41944
-0.17370,-0.36760,-0.03690,0.09479,-0.09595,-0.42402
-0.17570,-0.36740,-0.03620,0.09566,-0.09742,-0.42861
-0.17770,-0.36730,-0.03540,0.09650,-0.09889,-0.43321
-0.17970,-0.36720,-0.03480,0.09736,-0.10035,-0.43789
-0.18160,-0.36720,-0.03410,0.09821,-0.10183,-0.44258
-0.18360,-0.36670,-0.03410,0.09931,-0.10311,-0.44704
-0.18550,-0.36610,-0.03400,0.10040,-0.10440,-0.45149
-0.18750,-0.36560,-0.03400,0.10149,-0.10568,-0.45593
-0.18950,-0.36510,-0.03380,0.10256,-0.10697,-0.46036
-0.19140,-0.36450,-0.03380,0.10366,-0.10827,-0.46480
-0.19340,-0.36400,-0.03360,0.10475,-0.10956,-0.46926
-0.19530,-0.36410,-0.03360,0.10639,-0.11018,-0.46920
-0.19730,-0.36430,-0.03350,0.10803,-0.11078,-0.46915
-0.19990,-0.36430,-0.03370,0.11067,-0.11439,-0.46873
-0.20240,-0.36450,-0.03400,0.11331,-0.11799,-0.46830
-0.20490,-0.36480,-0.03410,0.11593,-0.12164,-0.46815
-0.20750,-0.36480,-0.03440,0.11854,-0.12529,-0.46799
-0.21000,-0.36500,-0.03450,0.12119,-0.12890,-0.46755
-0.21260,-0.36510,-0.03470,0.12384,-0.13250,-0.46711
-0.21510,-0.36520,-0.03490,0.12645,-0.13612,-0.46704
-0.21760,-0.36530,-0.03520,0.12907,-0.13974,-0.46695
-0.22010,-0.36540,-0.03550,0.13163,-0.14333,-0.46721
-0.22270,-0.36530,-0.03580,0.13419,-0.14692,-0.46746
-0.22520,-0.36530,-0.03600,0.13680,-0.15046,-0.46749
-0.22770,-0.36530,-0.03630,0.13941,-0.15398,-0.46751
